33,529
32,517
34,481
35,445
93,47
96,46
108,42
106,42
107,42
271,6
223,6
267,6
244,6
224,6
249,6
270,6
268,6
252,6
179,6
306,6
239,6
225,6
200,6
319,6
310,6
15,3013
16,2695
17,2274
18,1998
148,14
188,14
159,14
166,14
173,14
147,14
151,14
181,13
162,13
165,13
191,13
154,13
178,13
182,13
65,110
69,106
67,99
68,96
71,91
73,91
113,41
98,40
97,38
1041,2
538,2
461,2
446,2
861,2
369,2
455,2
820,2
323,2
350,2
523,2
882,2
376,2
324,2
579,2
672,2
742,2
599,2
421,2
497,2
765,2
355,2
295,2
373,2
290,2
1057,2
241,2
372,2
545,2
693,2
423,2
562,2
419,2
436,2
1149,2
381,2
677,2
757,2
849,2
328,2
368,2
453,2
657,2
3223,2
351,2
1170,2
767,2
656,2
426,2
797,2
314,2
517,2
279,2
403,2
1066,2
316,2
543,2
222,2
526,2
555,2
420,2
557,2
410,2
418,2
669,2
264,2
513,2
652,2
1456,2
332,2
274,2
883,2
345,2
613,2
1071,2
326,2
386,2
643,2
371,2
821,2
512,2
474,2
416,2
835,2
362,2
443,2
489,2
2189,2
463,2
256,2
457,2
367,2
518,2
133,23
128,23
141,22
130,22
66,90
77,82
79,82
56,162
58,160
62,136
59,127
238,11
172,11
36,406
37,383
38,380
39,350
61,124
60,120
64,116
63,113
74,79
70,78
76,77
72,76
143,17
138,17
153,17
136,17
139,17
129,17
134,16
160,16
152,16
169,16
156,16
343,3
434,3
265,3
448,3
240,3
396,3
298,3
552,3
565,3
493,3
348,3
415,3
370,3
470,3
282,3
411,3
301,3
528,3
384,3
405,3
321,3
349,3
286,3
216,3
236,3
251,3
284,3
245,3
329,3
438,3
203,3
280,3
374,3
278,3
442,3
269,3
312,3
214,3
449,3
233,3
347,3
211,3
297,3
674,3
299,3
430,3
331,3
667,3
468,3
363,3
335,3
311,3
398,3
28,787
29,708
30,627
31,597
102,50
86,49
99,49
185,10
209,10
175,10
189,10
221,10
187,10
184,10
177,10
201,10
174,10
210,10
19,1769
20,1635
21,1402
22,1282
84,66
83,65
89,62
88,60
78,60
80,60
231,4
217,4
263,4
235,4
304,4
352,4
230,4
380,4
481,4
246,4
293,4
255,4
393,4
338,4
325,4
364,4
242,4
336,4
308,4
285,4
219,4
277,4
287,4
341,4
273,4
261,4
275,4
302,4
288,4
460,4
195,4
116,37
119,36
112,36
114,35
109,35
95,58
92,57
90,53
2,445891
3,214432
4,108205
5,60899
6,36696
205,9
180,9
202,9
208,9
204,9
183,9
192,9
229,9
237,9
163,12
41,336
40,315
42,305
43,304
197,7
262,7
220,7
248,7
212,7
291,7
186,7
281,7
253,7
227,7
193,7
190,7
218,7
198,7
158,25
127,25
115,24
142,24
