CCCount,Frequency
3,3793
2,1994
5,764
4,580
7,212
6,181
8,69
9,68
11,44
10,33
12,20
13,13
14,13
15,6
17,6
16,5
19,5
18,4
20,2
21,2
23,2
27,2
22,1
498960,1
26,1
28,1
33,1
43,1
