CCCount,Frequency
2,1233
3,184
4,102
5,97
6,45
11,17
9,15
41,14
8,13
7,12
21,11
10,7
14,7
15,6
12,5
13,5
16,4
19,4
22,4
31,4
42,4
24,3
17,2
28,2
256,1
64,1
66,1
115078,1
203,1
331,1
18,1
86,1
220,1
38,1
169,1
1451,1
45,1
46,1
51,1
54,1
57,1
121,1
122,1
