bitcointaddress,valueCount
bitcoinaddress_43849383122EBB8A28268A89700C9F723663B5B8,4028.8621581706407
bitcoinaddress_E430577D96B86876DB17908B55564EA2BCFC97EA,2150.4829377470387
P2WPKHP2SH_EF08983432545CA6A78E1E527F811A2AA6F916F9,1315.5153845079599
bitcoinaddress_AA3750AA18B8A0F3F0590731E1FAB934856680CF,926.9821741033345
P2WPKHP2SH_735D4DE855597997B21588CC78CA2DB696BE1C5D,912.7454914694939
P2WPKHP2SH_59C4DDE362D010C67CCB7A00C1F80D9E6F61A51E,759.6650832801122
P2WPKHP2SH_C67C0EC69DCE42D069B60AC846FCDF11926546BD,755.2411881412811
P2WPKHP2SH_2473AFA2AA679A99BD6AA6BA7D2F21EB108C4F9D,654.5040858006369
bitcoinaddress_27EB90E24E9DFA208781E3ABDF91EA9A2FC970D7,615.4217053592431
bitcoinaddress_F2EA76ADC2345F3591CE997DEF9043FBE68ECC1A,559.4590770692554
P2WPKHP2SH_43D05DA506C40C910FF33B916E0841912F26F950,522.157218090251
bitcoinaddress_A272F612A77385FEBA32319EA3F727BB263E4DCD,492.9675496408577
bitcoinaddress_8631064B5CFC3D69D2C9A34A2800824ABA9CE9EF,447.1799597209282
bitcoinaddress_24EAB32CE350D6EF46E85B4723FE63CE84198EF2,389.07561253208166
bitcoinaddress_200413B74F3B34198333778C79AF1728AC9A912A,387.9869113629918
P2WPKHP2SH_D2F3FAD7FAE1A4FCF19BCA3E6F6E6D2AF76F9EB1,378.3108289540881
bitcoinaddress_87CC13DCA57614E3424AA423A53F6848AA2D0F60,375.51199349840516
bitcoinaddress_542E9435C24F2A6E43368497442108BA162871CF,371.619758270752
bitcoinaddress_C6E0499210E155FA8211ED0086506363F4D0D4FB,371.55481624780873
bitcoinaddress_8730D5EC54AA05ABA73DA961487E27429D9A8DF3,371.05994215200315
bitcoinaddress_98489C1B2BC0E382FF9E17697AD1FD4A02008D83,345.5824502422439
P2WPKHP2SH_5BCF82C5E3A9154583C91ED75DE91A658A34709F,333.8229851031416
P2WPKHP2SH_91C16040CB1D9DC442F4E2050563B1C5B3C36B2A,314.11165654633373
bitcoinaddress_E329A4A91A4119F4989F70861AA55C1A8B27AA23,305.9568646723698
bitcoinaddress_BAE025140C454518B8CBA0C25D45A6DC87F4B9CE,300.8239292135163
bitcoinaddress_E3DACCCDB0AD3C0BD57EC350E415812696EBBD07,291.5425267154711
bitcoinaddress_CBC75901E782845B46AC744F459BEF9697E67EF4,289.121538083481
P2WPKHP2SH_B995D61A269D60F3A4EFA95F0875F646BCF4BF4D,289.04695569922325
bitcoinaddress_36DADF05011EFAFBFBEEA171F38AE437C6E39A66,277.96660173824415
bitcoinaddress_237536678D126D5E3862FC880ADCDC9EDAC5568C,277.4232568183894
bitcoinaddress_F92CA2D67F34D27FD77FC7AE4F2CE829B8CD5DDD,263.2601580434189
P2WPKHP2SH_54E6CD8BC35768498FD190C94FFE03EAFF326132,261.22780021579
bitcoinaddress_35A562D48BB8486ED9D9C822FC4678AAEE9FB7B8,260.91154927147113
bitcoinaddress_067BB47CED1CBC5D458F85F7BABE7BB0796E6CF0,260.853584446982
P2WPKHP2SH_61A5ACCDE311D766F2D35D8436C84F786924B9BC,260.65190838022795
bitcoinaddress_04E683AE268F628AEB52CEA7126CD25A65FB3F51,256.60051486952716
bitcoinaddress_7C3A812395C8F0982FE883E8B1ED045F6FA0A6DA,253.60137706256384
bitcoinaddress_04939C3AB27ABCA8CF0915CE325BB9216F8C0F20,249.47652085846016
P2WPKHP2SH_449FF677AC9A8DF45AD153C6E86DAC9418693347,238.5858651891081
bitcoinaddress_FF50510EC66DCA05412A7666EE2EBCCDC8CF9955,230.10357260579437
bitcoinaddress_088F581AC092950F62F895826E36D028C773BF9A,225.13931288562574
P2WPKHP2SH_CBCCD3C64F866CC19834717A3F0C93775CBBDDE0,222.8773686125331
P2WPKHP2SH_770EF43217D3CCF5EB0A68E73E08F2EF9E30264C,218.34300004006735
bitcoinaddress_2F8850CF7FED61539EBAD15BBF02BA84930D80DA,216.9563559105854
P2WPKHP2SH_0781DF7EBE805398E31E75C4BC0E309B10DFFA25,212.36964318782324
P2WPKHP2SH_481D37D84BF5A5FF03F381D4ADBF50834C958BD4,210.89823083647613
bitcoinaddress_507C6B2B454E5D4347C2ABBCA970C5EED7A9AA5B,210.3342916488119
P2WPKHP2SH_66289AEBB2517180D38280370A61B0B1A7DE3B25,200.88246645404212
P2WPKHP2SH_385DBB576DEB9DBB3C86EF02351F9920C862FC03,191.71814996516542
