bitcointaddress,valueCount
bitcoinpubkey_410411DB93E1DCDB8A016B49840F8C53BC1EB68A382E97B1482ECAD7B148A6909A5CB2E0EADDFB84CCF9744464F82E160BFA9B8B64F9D4C03F999B8643F656B412A3,5.6902335546900105
bitcoinpubkey_4104348A5D019C292C7CEB7A940A4E8FF6A96D8C56D53EE284BDFC3BDCC5E52AE239482916BD7902ED9E9DD541CB794BC1DEAAB26638F508E5B760D48D34B35ED43A,5.601221423828672
bitcoinpubkey_4104F9804CFB86FB17441A6562B07C4EE8F012BDB2DA5BE022032E4B87100350CCC7C0F4D47078B06C9D22B0EC10BDCE4C590E0D01AED618987A6CAA8C94D74EE6DC,4.03043344533538
bitcoinpubkey_4104F9A3D1D23E99B495DB48EB24F332384AD1C270BF738DBA4FB51A58FADD225AF0C193BDA1064F04479983F800889D661A8C2E688524772CDEF22A6C347890973C,3.4321536576036578
bitcoinpubkey_41041256915DFF2EFBE2463AB3CBC527176E84232FFF4DAAFFD7F94E0D1DA2FB110A9145581F6ACF48D57D812E099DA68A5C810F48A3647DD39242780D2BE2A1E244,2.7531270252415423
bitcoinpubkey_4104ABCA9FF79F4022F0C0303713FBBA215C0E0C9527B4356DFC6894914E12E75B12FB60CFB4604251CD8C827962F8EDE855CBF3EC6FC265505EBE4FB8FDF24C98EA,2.3367594580087534
bitcoinpubkey_4104CB470486DD7FB36BF131FD82AC8EE6C47FAE1C934FC3356570C8784B6649B6B74B7449E93A39C4449C3BCD5F5C4E66BD8670BDE6EBFDEC19E867B6B8939CC07C,2.1979702689311567
bitcoinpubkey_41049B4AADBA5F1D87F3449091892247B834BBAA3EFDA177E4A86B0061DFD1D7BC8416D7C20F71B781D8ABF0780650F51A7278CB487285C315D5462C1204C44F6009,2.0704702689311563
bitcoinpubkey_41043A599BC318C846969E930833CB133DAE30672F7168EE0CA6E40EFF8F19F12B837089A80792B8E0032371590A38C626D8CF016E334AE0F56B307E2AB85FB5D902,2.049714949275202
bitcoinpubkey_4104E884A9429CA5A402BF3C6F869C4B6C87D28E72C9C39C3C0E17F75AF50B1F29E12C4AC51E03187DDEE5BEBE4391DBFB231816F1DD9DBC51C879A18D72DE2E9979,1.8566418907759634
bitcoinaddress_6934EFCEF36903B5B45EBD1E5F862D1B63A99FA5,1.8449711890734486
bitcoinpubkey_41048B48E109F432A490522F8D0E9E833443809F65B8AA2558B94C1C15EB0FD3E24F32D58A088A2B0E5E694D05E7B981E5C9750827646EB81DEBC816C3C667EEA5FD,1.7990201616595842
bitcoinpubkey_4104458C0607BB03EC116A6923D120FB38F9D1A47CBC03A6B9D89E267CCD8667D0DDAFD084A8DCC656EF9E1528AFA64697FBB1B6EFEBC97C9E6D45AC9738029ED854,1.6859777016983672
bitcoinpubkey_41040811FB01A4631EE529DA49DEDD80DA63CD634526419E4F00B331F9F542E2A6C691ABA4AB2E25DBE5A040AFA54EBB4D04AE50F53742D5C62EC244AA0CC8F3AD12,1.618845964746909
bitcoinpubkey_410439FC66F35687A414FE3BBC2ACCD443A2ED9DDAE60C7D2B3BD3EC6E9157ED9C90D4A741AF1DA739A310686AFF3F1F7671AFE79F20DFFCF62C929FD84FD7EAACF5,1.6078396386725013
bitcoinpubkey_4104B09E7791E6C6F76551DB6BDB55E60F2EFAAA57DAF4AFA8A0197E7AD8781EF0C396833F6904A10D845BE57275E1429280FDB3B462C4424C8BA0A6F86194AD539B,1.6006456071595692
bitcoinpubkey_41043F3BFB3594AA21572ABACC886A88101329C36827E33DEE7375313C9439BE5F12B14D567666C0080407F7AAE7D9C81B68B37C0715AF037102331F26568495272F,1.5708291882518095
bitcoinpubkey_410406FBCE9111C572ADDED1D16B36132B04BB5C577A1E4194815A20608D2BE99B98FBFD045C48C95C1E37D415D1B1C46A172653FB563ED1AA18A45864EDD2322C64,1.5157425866347936
bitcoinpubkey_41044E68012354DB42FFD3E125E44594D5025E4E1B1E186E8CEF03553CEFE84F29313A97766D9DD58D7FA214CFCD618C0BE613F8699F7FEB6F92A83EF1B64B49763F,1.5153135126207706
bitcoinpubkey_410485E0BE975DE39779E60C69243F6DA74713F44A1AFFECD5E7F352E45C80053CEA32015C7D448F1B64AE1719BA08FAFAF6F34D9498F71EB68D51E806FDCFFFDBA0,1.5153135126207706
bitcoinpubkey_4104E7218AE15F02B6A93DAD227137F184B4E7834FF7A37C43E254395B60856D229AAEB57325F52BDDD832D577EF22218264D942F4AA9451F459A2F0259C93FBF77A,1.5153135126207706
bitcoinpubkey_41045026A1D7D90800EFF4DEEAB00D953828143D540AA55531212D1DEB84D88B66A6D25A708D4168A5DF315CA239E8617F8D9B75EAFAED69A1B125E47FD2AFA55522,1.5153135126207706
bitcoinpubkey_4104C7A78B9A39471563EE652A5D9E71F788C2C2923C04341059D8A803F773B60071BF2919CC5F6DE23932FDDCE3DA8C6E80F92A38FD63C54DED9860C61F0817F971,1.5153135126207706
bitcoinpubkey_410402247B23C5DFA2EFD1009B2CB6DEA1093B323A0EA991B61D168BDF9743967E4CFE472ED1E7CE5FA9B0EADE6346958A834409D9984063FE502ADCCAA60A27B562,1.312774323543175
bitcoinpubkey_4104C178AE9525B21F6257BD01714EC5257401FB887DF95C558E7F336F9FC8442F71CC5350EAFCF80FCA77D17EB4D43D56F3889259B46B83CF2D4F6DE0E14CA2D5F3,1.0602090084138474
bitcoinpubkey_4104BA6F90071885CD57146B0B55FEF97FA817A2A33B6CA2FCE4D69F2B22069C7EAB007D3F250FD30B22D86F8579389B3D45C78F835779085583522320030B78584C,0.8455985767017256
bitcoinpubkey_4104B2FA6F9A01524FA05FBD7DE7D33F25C828DF5B724DC97B72504CF19B000E7342FF3AE72178CF55DC8456207621F19B383E497F41595CC0826D1D3F79AA15646B,0.8435390087883469
bitcoinaddress_B1B9FC2461AFDC42A742C3FD9340DB4DB4EB0600,0.8384005951259679
bitcoinpubkey_41046A0765B5865641CE08DD39690AADE26DFBF5511430CA428A3089261361CEF170E3929A68AEE3D8D4848B0C5111B0A37B82B86AD559FD2A745B44D8E8D9DFDC0C,0.6504938286406843
bitcoinpubkey_4104CCAE88CCAF112781E46431747785AAF6A10D8B2B1FCBF9BF7DD2DF7B1D45BAE4F127DDE25DF1427ADFEF7D7519A941C40E38A44D664E9601BFA847DBFE38D532,0.4936539375
bitcoinpubkey_4104F36C67039006EC4ED2C885D7AB0763FEB5DEB9633CF63841474712E4CF0459356750185FC9D962D0F4A1E08E1A84F0C9A9F826AD067675403C19D752530492DC,0.4889871397235517
bitcoinpubkey_41045E8FFC7D96E862E5A5D1ADA9B2B428E743547D0167665B20C6636F475AFF72F08C754BE2A5ACFDA4854A1E8BCCF8812876BC94E0A1B65C01A0D4D056911182BB,0.4825447482509678
bitcoinpubkey_41045E2FE4E8B458A8FC3C75B781BCFBA7F119390490CB8EECED31008EE76E4318BE9E9D619FB3F419A2DB7996DBCBC1565211EC426C7B4475FAA40ECCA032337FA5,0.42199999999999993
bitcoinpubkey_4104D0EAC2CF10CD0BD9F99B5ABA19ECC86273D74D78A56F27056A7F1CA6E1888A769CAA188ED8869A7C775553B8EDB952ADF848834B85100179C8018497F4F9DB5C,0.40429874999999993
