bitcointaddress,valueCount
bitcoinpubkey_4104A39B9E4FBD213EF24BB9BE69DE4A118DD0644082E47C01FD9159D38637B83FBCDC115A5D6E970586A012D1CFE3E3A8B1A3D04E763BDC5A071C0E827C0BD834A5,172890.24459576033
bitcoinaddress_06F1B66FFE49DF7FCE684DF16C62F59DC9ADBD3F,170466.7547559891
bitcoinaddress_E1BB16A26D591FD766C1B23FAEC067301AFA8A07,153060.13691851983
bitcoinaddress_5605C6DC8A9672A014225BAC565DB25BCEC649A2,152194.5072570392
bitcoinaddress_06F1B6703D3F56427BFCFD372F952D50D04B64BD,95518.7096505587
bitcoinaddress_06F1B670791F9256BFFC898F474271C22F4BB949,46972.56541340116
bitcoinaddress_7BFBA1D2CFD91A0CD379B747834693F67EA5E37C,46771.08377018018
bitcoinaddress_06F1B66FD59A34755C37A8F701F43E937CDBEB13,43207.62535204872
bitcoinaddress_06F1B66FC9E59A7B4554CF2E6094032CD9EE45C4,37933.11603935227
bitcoinaddress_06C58F1ACF265ECF0E3B96781D40514D4348C70A,33570.89610378339
bitcoinaddress_06F1B66F8567C6E527FC89B4D664069D20B09693,31674.412795258413
bitcoinaddress_27A1F12771DE5CC3B73941664B2537C15316BE43,29562.35780085541
bitcoinaddress_9F9DA5B2713BA79038EEF4002BC868DF230A148E,25489.178251242214
bitcoinaddress_58BA2C4FCEB713679FC54033077932B5507E90E9,25058.888798438522
bitcoinaddress_A1564031D315DE6EC770899589828A1AC1CF089F,24181.17861770868
bitcoinaddress_0568015A9FACCCFD09D70D409B6FC1A5546CECC6,23474.73806942039
bitcoinaddress_06F1B66FB6C0E253F24C74D3ED972FF447CA285C,22494.11025508994
bitcoinaddress_69363C41786BF115BF07F216A2F8E3BFF0BA42A5,20243.720006333915
bitcoinaddress_06F1B66F5A691FF3169702D615B77D0AF1451E77,20238.403099990737
bitcoinaddress_C825A1ECF2A6830C4401620C3A16F1995057C2AB,20129.57867661458
bitcoinaddress_6BE318F57CCD5B85D7EE9CC15A3C5DA4F98064AF,18352.99509657485
bitcoinaddress_F4B004C3CA2E7F96F9FC5BCA767708967AF67A44,18344.062016691772
bitcoinaddress_1D811176562C8291A1C481AF63B9B0460F9539FE,16336.314761824444
bitcoinaddress_F8792403D21CA8ED44201361E2996E3055B9622C,15969.598571897375
bitcoinaddress_45D906FDC235C3FFB40ACB4831A509E5BAC4092C,15852.5346098811
bitcoinaddress_06F1B6716309948FA3B07B0A6B66804FDFD68731,15851.03945324411
bitcoinaddress_9C0B9734DC32BCC148E0C2CA1B62EC1FB5559EC7,15797.735953108224
bitcoinaddress_D106DFB4422C85C916BE6FE2106385B453FAEE69,15732.53818413191
bitcoinaddress_06F1B66E25393FABD2B23A237E4BDFD4C2C35FAC,15400.22284652038
bitcoinaddress_06F1B677D263B7328151F1775B80E83FCA177D1A,15385.298865030678
bitcoinaddress_D47C1C9AFC2A18319E7B78762DC8814727473E90,15368.33844389717
bitcoinaddress_8CAF2518F5BB3225D95A62037109F18E7F2D322B,15235.977476430706
bitcoinaddress_4CE8AA5036CC71B3E253E671BD6970EC0BFD1438,15200.829403771495
bitcoinaddress_539758E1FC692D5255C1585900ED75736FDB2523,15131.058685847553
bitcoinaddress_B505F801AAA38ABAB7638ED30AB9F1F18EE22D08,15119.020663625211
bitcoinaddress_6999A9826E7F5B90E4F4A3AC5FB6CDFA32D39422,15114.834487283613
bitcoinaddress_AD4C20D5B1956015EA626F02AFDAEBE8ED17E1A8,15084.056480058855
bitcoinaddress_06F1B66F6D8AF8B3E984E5D807C0E1DD69647962,14925.423026484594
bitcoinaddress_DFAB45164C45E16F021E083DB1805C97A5D04C8A,14924.596346470824
bitcoinaddress_220AFF37D2665794BFC25DB189633BF7042B650D,14842.129840860707
bitcoinaddress_BB3AE2A5B6CD3CE97A627C70395D2BC52A69DD56,14720.00165056897
bitcoinaddress_E2103755A55B5A54246572CBBBFA25E65CAE33A3,14717.162240550862
bitcoinaddress_B59CD5A89A456AC7DBCB3A4B54DE1DF958C3D412,14628.743890849199
bitcoinaddress_AA8CD5299579F3D6C8A3458CFF28564E5C1CBC57,14551.887878450509
bitcoinaddress_231EAA596EF11E796966FD829350DEFD5C7EDC07,14518.421748442186
bitcoinaddress_E8C753E1D147DC1594F60033239D982E9E373A41,14503.873463797134
