bitcointaddress,valueCount
bitcoinaddress_596FADB1229A9CCC14C2C9253ED12EBD8B5E3D57,114482.89231176302
bitcoinaddress_06F1B66FFE49DF7FCE684DF16C62F59DC9ADBD3F,87467.8064824899
bitcoinaddress_2B5761A075A5C2DAF009FF302A00989E7E110082,83151.54851526636
bitcoinaddress_1387F8DD83F23FA71E8C8AEFBB214AD6D0C0E8D7,68552.31549644691
bitcoinaddress_4E3F2BCEC5C1FA613C4A24E0197A50AD3C9D178C,56049.15021085822
bitcoinaddress_26BFB55D16151323D66CDC83399808D5044DB364,44964.97308042604
bitcoinaddress_5E4A1B27ADB5501B0AF2BC2511D959CD16586280,30203.230122495363
bitcoinaddress_CECBECF1490BFF5428ED7AF4125E928CD265D0B3,30124.283501334714
bitcoinaddress_47B8CE113CC828E086A556C596E0067406B7811D,24709.60171567174
bitcoinaddress_2DBDE30815FAEE5BF221D6688EBAD7E12F7B2B1A,23328.51724241696
bitcoinaddress_7C6BEF5BC5C73C6A5758570CDE5BA4D6D4584DF4,20075.755575562824
bitcoinaddress_06F1B66FD59A34755C37A8F701F43E937CDBEB13,16416.05010218349
bitcoinaddress_0568015A9FACCCFD09D70D409B6FC1A5546CECC6,16370.128746467952
bitcoinaddress_06F1B66FC9E59A7B4554CF2E6094032CD9EE45C4,16275.572151674352
bitcoinaddress_B9082B257D412A06C41C059D6F85097FBB49D81D,16049.309723596134
bitcoinaddress_06F1B670791F9256BFFC898F474271C22F4BB949,15920.06651985603
bitcoinaddress_F4B004C3CA2E7F96F9FC5BCA767708967AF67A44,14519.379913452281
bitcoinaddress_06F1B66F8567C6E527FC89B4D664069D20B09693,14087.478970426459
bitcoinaddress_3BD757AD8475C3D0204F2BFF0A65933D69FB1641,13408.03212941388
bitcoinaddress_9189E79FB2C6FDFB3F221C3E1341A98C0A16BE55,13084.84433819615
bitcoinaddress_31E8F4B1C29B99D8427F2E8D3A2B6764E486793D,12686.52359444649
bitcoinaddress_0B3907249E9F6DE4C13DD6CE347A9ED07C989D2F,12011.821925780507
bitcoinaddress_902C706B21036723010D37E1D18CAB9B77FE1DA4,11218.378432568608
bitcoinaddress_89831B39E358EC68D01FA90184907197E0F9E87A,10826.356218228007
bitcoinaddress_347193CA53672A14D57208DD5DD66B84A7CE6A87,10699.641035613839
bitcoinaddress_68DD4F11D1F14AB0451AC6BD8B830B3EB4089647,10507.474753831939
bitcoinaddress_B529172DDB1425774C28CB24B6D74579E421EF09,10353.113044314669
