"date","value"
2009-01-03,285.0
2009-01-09,215.0
2009-01-10,215.21428571428572
2009-01-11,215.43478260869566
2009-01-12,233.92708333333334
2009-01-13,215.6639344262295
2009-01-14,219.251968503937
2009-01-15,238.04651162790697
2009-01-16,220.87962962962962
2009-01-17,215.8440366972477
2009-01-18,219.94392523364485
2009-01-19,232.89565217391305
2009-01-20,224.73684210526315
2009-01-21,218.8679245283019
2009-01-22,229.82142857142858
2009-01-23,229.71604938271605
2009-01-24,222.00492610837438
2009-01-25,216.98958333333334
2009-01-26,239.4591836734694
2009-01-27,220.26530612244898
2009-01-28,215.65765765765767
2009-01-29,227.1639344262295
2009-01-30,215.89743589743588
2009-01-31,232.55474452554745
2009-02-01,218.24107142857142
2009-02-02,217.09448818897638
2009-02-03,244.75912408759123
2009-02-04,220.42741935483872
2009-02-05,215.7016129032258
2009-02-06,215.82926829268294
2009-02-07,240.31782945736435
2009-02-08,217.54887218045113
2009-02-09,254.77692307692308
2009-02-10,215.6694214876033
2009-02-11,225.15151515151516
2009-02-12,220.2439024390244
2009-02-13,215.90243902439025
2009-02-14,215.8029197080292
2009-02-15,229.9268292682927
2009-02-16,243.73387096774192
2009-02-17,215.86206896551724
2009-02-18,215.9344262295082
2009-02-19,215.97540983606558
2009-02-20,230.92741935483872
2009-02-21,215.96428571428572
2009-02-22,228.44262295081967
2009-02-23,215.9908256880734
2009-02-24,215.93396226415095
2009-02-25,215.8679245283019
2009-02-26,215.97142857142856
2009-02-27,251.17948717948718
2009-02-28,224.5252525252525
2009-03-01,215.96153846153845
2009-03-02,215.9537037037037
2009-03-03,225.63106796116506
2009-03-04,241.9433962264151
2009-03-05,218.06422018348624
2009-03-06,223.78512396694214
2009-03-07,215.97222222222223
2009-03-08,243.8421052631579
2009-03-09,215.71559633027522
2009-03-10,215.96226415094338
2009-03-11,215.8849557522124
2009-03-12,219.51260504201682
2009-03-13,229.52678571428572
2009-03-14,215.8
2009-03-15,215.93548387096774
2009-03-16,260.7723577235772
2009-03-17,215.9646017699115
2009-03-18,215.91150442477877
2009-03-19,229.76859504132233
2009-03-20,227.71428571428572
2009-03-21,215.8909090909091
2009-03-22,227.51304347826087
2009-03-23,215.92307692307693
2009-03-24,215.98095238095237
2009-03-25,215.7844827586207
2009-03-26,244.08695652173913
2009-03-27,215.9532710280374
2009-03-28,236.06666666666666
2009-03-29,215.96190476190475
2009-03-30,215.85714285714286
2009-03-31,248.6283185840708
2009-04-01,215.87155963302752
2009-04-02,215.875
2009-04-03,215.95495495495496
2009-04-04,215.75
2009-04-05,231.66666666666666
2009-04-06,215.98214285714286
2009-04-07,215.989898989899
2009-04-08,216.0
2009-04-09,215.76288659793815
2009-04-10,215.91666666666666
2009-04-11,223.15447154471545
2009-04-12,222.64912280701753
2009-04-13,220.21186440677965
2009-04-14,215.95081967213116
2009-04-15,215.74137931034483
2009-04-16,215.90983606557376
2009-04-17,215.84821428571428
2009-04-18,222.03174603174602
2009-04-19,224.07627118644066
2009-04-20,327.97457627118644
2009-04-21,217.7560975609756
2009-04-22,215.95762711864407
2009-04-23,215.69620253164558
2009-04-24,215.89380530973452
2009-04-25,215.8655462184874
2009-04-26,231.76315789473685
2009-04-27,215.9126213592233
2009-04-28,215.6386554621849
2009-04-29,234.512
2009-04-30,215.9699248120301
2009-05-01,215.85833333333332
2009-05-02,231.37301587301587
2009-05-03,223.7196261682243
2009-05-04,215.784
2009-05-05,241.0072463768116
2009-05-06,225.03053435114504
2009-05-07,216.0
2009-05-08,215.94871794871796
2009-05-09,215.5185185185185
2009-05-10,215.73684210526315
2009-05-11,218.84166666666667
2009-05-12,215.9296875
2009-05-13,225.3448275862069
2009-05-14,221.3984962406015
2009-05-15,215.84285714285716
2009-05-16,225.88235294117646
2009-05-17,215.95967741935485
2009-05-18,215.91735537190084
2009-05-19,215.90588235294118
2009-05-20,215.71900826446281
2009-05-21,215.96341463414635
2009-05-22,215.97142857142856
2009-05-23,216.0
2009-05-24,215.8910891089109
2009-05-25,215.94545454545454
2009-05-26,215.925
2009-05-27,215.71544715447155
2009-05-28,215.89690721649484
2009-05-29,279.6296296296296
2009-05-30,215.6990291262136
2009-05-31,216.0
2009-06-01,219.83098591549296
2009-06-02,215.90196078431373
2009-06-03,216.0
2009-06-04,215.96296296296296
2009-06-05,215.88095238095238
2009-06-06,215.23076923076923
2009-06-07,216.0
2009-06-08,215.77631578947367
2009-06-09,215.79569892473117
2009-06-10,215.92857142857142
2009-06-11,215.95604395604394
2009-06-12,215.8953488372093
2009-06-13,215.41975308641975
2009-06-14,215.6769230769231
2009-06-15,215.96470588235294
2009-06-16,215.7972972972973
2009-06-17,215.6103896103896
2009-06-18,215.7875
2009-06-19,215.68965517241378
2009-06-20,215.79268292682926
2009-06-21,215.7051282051282
2009-06-22,304.06410256410254
2009-06-23,215.62337662337663
2009-06-24,221.84444444444443
2009-06-25,215.64285714285714
2009-06-26,241.45555555555555
2009-06-27,215.77380952380952
2009-06-28,220.68085106382978
2009-06-29,218.8846153846154
2009-06-30,220.75555555555556
2009-07-01,219.3116883116883
2009-07-02,215.75
2009-07-03,218.9
2009-07-04,215.8901098901099
2009-07-05,215.97368421052633
2009-07-06,215.9777777777778
2009-07-07,215.955223880597
2009-07-08,215.97297297297297
2009-07-09,215.71764705882353
2009-07-10,215.890243902439
2009-07-11,215.96296296296296
2009-07-12,215.79746835443038
2009-07-13,215.93421052631578
2009-07-14,215.955223880597
2009-07-15,215.9387755102041
2009-07-16,215.8732394366197
2009-07-17,215.80769230769232
